product_itemid,product_category,product_name,product_price,status,shop_location
7919342724,Short Sleeves,NKD Korean Fashion Erich Basic Daily Polo Tie Top 1104,300.0,1,"Taytay, Rizal"
7140015494,Short Sleeves,OnlyYouth Classic knitted blouse korean top short sleeves,,1,"San Nicolas, Metro Manila"
4843903203,Short Sleeves,SS Oversized Ringer Top Plus Size Korean Fashion Women Tops Basic Tee,200.0,1,"Taytay, Rizal"
11405348262,Short Sleeves,Women's T-shirt Short Sleeve Collar with small daisy embroidery Korean Fashion 2021,391.0,1,Mainland China
2553628745,Short Sleeves,SS Korean Tops Square Neck Fashion Blouse Semi Crop Top,300.0,1,"Taytay, Rizal"
7217869256,Short Sleeves,NKD Korean Fashion Edith Plain X Back Basic Top 1052,150.0,1,"Taytay, Rizal"
3018638392,Short Sleeves,DIRECT SUPPLIER Korean Fashion Jade Plain Basic Cut Out Top 1054,150.0,1,"Taytay, Rizal"
5772767357,Short Sleeves,Korean style loose and comfortable long-sleeved top,603.0,1,"Makati City, Metro Manila"
4838940464,Short Sleeves,SS Korean Crop Top Cinched Cut Garter Tops V Neck Blouse,150.0,1,"Taytay, Rizal"
3216519312,Short Sleeves,NKD Korean Fashion Angel Printed Floral Puff Sleeves Ribbon Tie Top 1004,180.0,1,"Taytay, Rizal"
7758962170,Short Sleeves,korean fashion knitted blouse knitted top shortsleeve,300.0,1,"Pasay City, Metro Manila"
7956324829,Short Sleeves,Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse(BVQ),200.0,1,"San Nicolas, Metro Manila"
6717870027,Short Sleeves,NKD Korean Fashion Jade Plain Basic Cut Out Top 1054,150.0,1,"Taytay, Rizal"
6258961926,Short Sleeves,korean fashion knitted blouse knitted top shortsleeve,300.0,1,"Pasay City, Metro Manila"
3500414278,Short Sleeves,SS Korean Overlap Top Ruffle Tops Women Fashion Top Wrap Around,300.0,1,"Taytay, Rizal"
8812869286,Short Sleeves,MIKANA Korean Squareneck Knitted Top,200.0,1,"Pasig City, Metro Manila"
9561220312,Short Sleeves,korean fashion knitted Round neck blouse top short sleeves,300.0,1,"Pasay City, Metro Manila"
5640404015,Short Sleeves,NKD Korean Fashion Sara Loose Trendy Top 58230,180.0,1,"Taytay, Rizal"
2952422461,Short Sleeves,Chiffon Ruffled Square Collar Korean Tops Pearl Buttons Solid Color Versatile Slim-Fit Top,500.0,1,Mainland China
8358485297,Short Sleeves,【BTG】Striped Short-sleeved T-shirt Women's Slim Student Korean Style Top,376.0,1,Mainland China
9312209380,Short Sleeves,7-color Korean version elegant retro Polo knit V-neck slim short open navel Short Sleeve T-Shirt Top,200.0,1,"San Nicolas, Metro Manila"
8154700018,Short Sleeves,korean fashion knitted Round neck blouse top short sleeve,300.0,1,"Pasay City, Metro Manila"
7543788697,Short Sleeves,VIVENA Women's Korean Style Chic Pleated Short-sleeve w/ Buttons Knitted Top Open Blouses #1141,,1,"Santa Cruz, Metro Manila"
6748102529,Short Sleeves,Bangkok Inspired Top - MJ Direct Supplier,199.0,1,"Mandaluyong City, Metro Manila"
3550379942,Short Sleeves,Knitted Tops Korean Blouse short Sleeves Simple Elegan,180.0,1,"San Nicolas, Metro Manila"
3737860883,Short Sleeves,Checkout link for live selling!✨ Korean polo blouses and Korean Shorts,,1,"Candon City, Ilocos Sur"
6719338496,Short Sleeves,NKD Korean Fashion Jana Puff Sleeves Basic Top 1098,180.0,1,"Taytay, Rizal"
6447850897,Short Sleeves,DIRECT SUPPLIER Fashion Karen Plain Basic Daily Blouse 1018,150.0,1,"Taytay, Rizal"
3858736267,Short Sleeves,korean fashion knitted blouse knitted top shortsleeve,350.0,1,"Pasay City, Metro Manila"
4317866265,Short Sleeves,Fashion Women's Solid Half Turtleneck Casual Knitted Tops Sleeveless T-Shirt Crop top Korean top tank top KnitTop Dress,250.0,1,Mainland China
3739155029,Short Sleeves,korean fashion knitted blouse knitted top shortsleeve,300.0,1,"Pasay City, Metro Manila"
8858747915,Short Sleeves,【BTG】Design Niche Short Short-sleeved T-shirt Female Summer Loose Korean Ins High Waist Top,380.0,1,Mainland China
3440427470,Short Sleeves,UFW #19819 & #8208 Korean Knitted Top Short Sleeves,320.0,1,"Tondo I / Ii, Metro Manila"
2888565607,Short Sleeves,Classic Knitted Blouse Korean Top Short Sleeves office wear fashion sexy blouse,260.0,1,"Tondo I / Ii, Metro Manila"
10903816367,Short Sleeves,korean fashion knitted Round neck blouse top shortsleeve,300.0,1,"Pasay City, Metro Manila"
11509325244,Short Sleeves,Monster 2021Summer New Hong Kong Style Short Top Korean Style Niche Design Western Style Hollow-out Short Sleeve Sweater Outer Wear,591.0,1,Mainland China
6815336673,Short Sleeves,New Korean style sexy knitted blouse / women's top / plian Color shortsleeve blouse /v-neck top,350.0,1,"Caloocan City, Metro Manila"
2298035595,Short Sleeves,UFW #A02 Korean Classic Knitted V Top Blouse,420.0,1,"Tondo I / Ii, Metro Manila"
3860839252,Short Sleeves,Kathryn High Quality Korean 2WAY  Back Tie Top BLOUSE FITS TO Large 11113#,150.0,1,"Taytay, Rizal"
