rating_star,user_id,product_itemid
5,11077,3550379942
5,599,3550379942
5,18042,3550379942
5,18255,3550379942
5,19699,3550379942
5,8402,3550379942
5,9348,3550379942
5,8079,3550379942
5,5495,3550379942
5,12909,3550379942
5,20432,3550379942
5,89,3550379942
4,19472,3550379942
5,12918,3550379942
5,12390,3550379942
5,10796,3550379942
5,10243,3550379942
5,609,3550379942
5,7907,3550379942
5,19885,3550379942
5,14655,3550379942
5,8426,3550379942
5,3410,3550379942
5,10507,3550379942
5,15941,3550379942
5,12696,3550379942
5,5495,3550379942
5,8410,3550379942
4,5528,3550379942
1,17470,3550379942
5,6075,3550379942
5,11851,3550379942
5,20433,3550379942
5,15150,3550379942
5,6465,3550379942
5,16689,3550379942
5,16855,3550379942
5,14928,3550379942
5,11845,3550379942
5,2103,3550379942
5,635,3550379942
5,4913,3550379942
5,17027,3550379942
5,11853,3550379942
5,8210,3550379942
5,20236,3550379942
5,18792,3550379942
4,5509,3550379942
5,7908,3550379942
5,4714,3550379942
5,8415,6748102529
5,20793,6748102529
5,21014,6748102529
5,15128,6748102529
5,15945,6748102529
5,19160,6748102529
5,3278,6748102529
5,2630,6748102529
5,8308,6748102529
5,602,6748102529
5,18636,6748102529
5,16529,6748102529
5,3284,6748102529
5,5494,6748102529
5,18035,6748102529
5,18916,6748102529
5,16679,6748102529
5,628,6748102529
5,283,6748102529
5,15494,6748102529
5,12918,6748102529
5,3290,6748102529
5,345,6748102529
5,15141,6748102529
5,17636,6748102529
5,10693,6748102529
5,13766,6748102529
5,15140,6748102529
5,6236,6748102529
5,1607,6748102529
5,12929,6748102529
5,11845,6748102529
5,7307,6748102529
5,15941,6748102529
5,7458,6748102529
5,6593,6748102529
5,17325,6748102529
5,756,6748102529
5,4724,6748102529
5,9814,6748102529
5,3290,6748102529
5,12917,6748102529
5,16665,6748102529
5,8393,6748102529
5,11843,6748102529
5,2344,6748102529
5,16669,6748102529
5,2625,6748102529
5,11864,6748102529
5,3978,6748102529
5,12911,7543788697
5,18414,7543788697
5,21025,7543788697
5,16526,7543788697
5,7899,7543788697
5,20570,7543788697
5,12082,7543788697
5,20098,7543788697
5,6685,7543788697
5,8416,7543788697
5,12928,7543788697
5,713,7543788697
5,20780,7543788697
5,19653,7543788697
5,5505,7543788697
4,19170,7543788697
5,8409,7543788697
5,610,7543788697
5,18042,7543788697
5,1438,7543788697
5,610,7543788697
5,18054,7543788697
5,3309,7543788697
5,11550,7543788697
5,14531,7543788697
5,14531,7543788697
5,6760,7543788697
5,6752,7543788697
5,5712,7543788697
3,8415,7543788697
5,20191,7543788697
5,6751,7543788697
5,12905,7543788697
5,3297,7543788697
5,18046,7543788697
4,7259,7543788697
5,12898,7543788697
5,10801,7543788697
5,7029,7543788697
5,11331,7543788697
5,610,7543788697
5,17856,7543788697
5,3290,7543788697
4,3303,7543788697
5,12909,7543788697
5,19227,7543788697
5,6399,7543788697
5,3303,7543788697
5,6752,7543788697
5,14312,7543788697
5,3300,8154700018
5,8399,8154700018
5,12355,8154700018
5,6583,8154700018
5,3509,8154700018
5,6281,8154700018
5,9179,8154700018
5,16690,8154700018
5,7286,8154700018
5,12783,8154700018
5,12783,8154700018
5,6705,8154700018
5,18683,8154700018
5,18683,8154700018
5,18683,8154700018
2,3007,8154700018
5,6331,8154700018
5,9721,8154700018
5,11949,8154700018
5,3297,9312209380
5,15950,9312209380
5,610,9312209380
5,8402,9312209380
3,8330,9312209380
5,8413,9312209380
5,8402,9312209380
5,3304,9312209380
5,11836,9312209380
5,3282,9312209380
5,4826,9312209380
5,6744,9312209380
5,8416,9312209380
5,3286,9312209380
5,17284,9312209380
5,16223,9312209380
5,20845,9312209380
5,7913,9312209380
5,599,9312209380
5,20768,9312209380
5,3275,9312209380
2,5728,9312209380
5,19461,9312209380
2,3303,9312209380
5,19740,9312209380
5,19175,9312209380
4,12897,9312209380
5,18224,9312209380
5,6508,9312209380
5,17284,9312209380
4,13868,9312209380
5,16684,9312209380
5,3299,9312209380
5,14525,9312209380
4,10806,9312209380
1,6884,9312209380
5,16366,9312209380
5,15126,9312209380
5,19149,9312209380
5,9780,9312209380
5,381,9312209380
5,12902,9312209380
5,11002,9312209380
5,19380,9312209380
5,11043,9312209380
5,2337,9312209380
5,20396,9312209380
5,11818,9312209380
5,3286,9312209380
5,12018,9312209380
5,16025,8358485297
5,4636,2952422461
5,18038,2952422461
5,18038,2952422461
5,16250,2952422461
5,3281,2952422461
5,8397,2952422461
5,14432,2952422461
5,18764,2952422461
5,19722,2952422461
5,14483,2952422461
5,19126,2952422461
5,11241,2952422461
5,4963,2952422461
5,9943,2952422461
5,13501,2952422461
5,11668,2952422461
5,16679,5640404015
5,3290,5640404015
4,4724,5640404015
5,12913,5640404015
5,3286,5640404015
4,612,5640404015
5,1159,5640404015
5,15862,5640404015
5,5521,5640404015
5,8399,5640404015
4,3299,5640404015
5,18059,5640404015
5,8696,5640404015
5,11858,5640404015
5,20239,5640404015
5,4710,5640404015
5,7207,5640404015
4,20423,5640404015
5,6752,5640404015
5,15862,5640404015
5,6749,5640404015
5,12905,5640404015
5,15144,5640404015
5,15862,5640404015
3,4803,5640404015
5,4828,5640404015
5,18771,5640404015
5,18359,5640404015
3,7311,5640404015
5,4178,5640404015
1,2690,5640404015
5,12900,5640404015
1,9239,5640404015
5,620,5640404015
5,10686,5640404015
5,157,5640404015
3,19777,5640404015
5,12924,5640404015
5,11525,5640404015
5,2643,5640404015
5,7754,5640404015
5,20446,5640404015
5,2631,5640404015
5,15144,5640404015
5,8335,5640404015
5,15946,5640404015
5,5519,5640404015
5,4117,5640404015
5,18256,5640404015
5,12905,5640404015
5,20131,9561220312
5,5974,9561220312
5,2380,9561220312
5,13467,9561220312
5,12915,8812869286
5,12900,8812869286
5,15949,8812869286
5,12900,8812869286
5,2636,8812869286
5,12918,8812869286
5,13297,8812869286
5,3299,8812869286
5,18549,8812869286
4,8418,8812869286
5,5511,8812869286
5,20445,8812869286
5,610,8812869286
5,623,8812869286
5,10886,8812869286
5,19172,8812869286
5,7968,8812869286
5,4724,8812869286
4,7884,8812869286
5,1984,8812869286
5,6723,8812869286
5,607,8812869286
5,14394,8812869286
5,12896,8812869286
5,4718,8812869286
4,2630,8812869286
5,15925,8812869286
5,19179,8812869286
5,11853,8812869286
5,11853,8812869286
4,18043,8812869286
5,8394,8812869286
4,2630,8812869286
5,11512,8812869286
5,15856,8812869286
5,19774,8812869286
5,6384,8812869286
5,13619,8812869286
5,10785,8812869286
5,16681,8812869286
5,12905,8812869286
5,9845,8812869286
5,11854,8812869286
5,481,8812869286
5,10795,8812869286
5,15145,8812869286
5,18055,8812869286
5,13606,8812869286
5,4709,8812869286
3,19398,8812869286
5,3290,3500414278
5,88,3500414278
1,10745,3500414278
5,8415,3500414278
5,10783,3500414278
5,16609,3500414278
5,11473,3500414278
5,20272,3500414278
5,10805,3500414278
5,10781,3500414278
5,1109,3500414278
5,8402,3500414278
5,616,3500414278
5,6087,3500414278
5,18046,3500414278
5,12899,3500414278
5,18065,3500414278
5,8395,3500414278
5,12915,3500414278
5,12918,3500414278
5,11030,3500414278
5,12418,3500414278
